省内频道,#genre#
CCTV-4国际,http://125.210.152.18:9090/live/CCTV4.m3u8
CCTV-4国际,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-4欧洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8
CCTV-4美洲,https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
CCTV-5体育,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV-5体育,http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV-5体育,http://39.134.168.91/PLTV/1/224/3221225556/index.m3u8
CCTV-5体育,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/index.m3u8
CCTV-5体育,http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8
CCTV-5体育,http://121.31.30.91:8081/ysten-business/live/cctv-5/1.m3u8
CCTV-5体育,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV-5+体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8
CCTV-5+体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-5+体育,http://121.31.30.91:8081/ysten-business/live/hdcctv05plus/1.m3u8
CCTV-5+体育,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV-5+体育,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV-5+体育,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV-6电影,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV-6电影,http://112.17.40.48:80/PLTV/88888888/224/3221226433/1.m3u8
CCTV-6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6电影,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV-6电影,http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV-6电影,http://121.31.30.91:8081/ysten-business/live/cctv-6/1.m3u8
CCTV-7军事,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-7军事,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV-7军事,http://112.17.40.7:80/PLTV/88888888/224/3221226122/index.m3u8
CCTV-7军事,http://121.31.30.91:8081/ysten-business/live/cctv-7/1.m3u8
CCTV-7军事,http://101.71.255.229:6610/zjhs/2/10067/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-7军事,http://101.71.255.229:6610/zjhs/2/10091/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-7军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-7军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225593/index.m3u8
CCTV-7军事,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-8电视,http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV-8电视,http://39.134.168.91/PLTV/1/224/3221225562/index.m3u8
CCTV-8电视,http://39.134.176.148/PLTV/88888888/224/3221226330/index.m3u8
CCTV-8电视,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-8电视,http://121.31.30.91:8081/ysten-business/live/cctv-8/1.m3u8
CCTV-9纪录,http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV-9纪录,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV-9纪录,http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV-9纪录,http://101.71.255.229:6610/zjhs/2/10064/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-9纪录,http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-9纪录,http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8
CCTV-9纪录,http://121.31.30.87:8085/ysten-business/live/cctv-news/1.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8
CCTV-9纪录,http://121.31.30.91:8081/ysten-business/live/cctv-news/1.m3u8
CCTV-10科教,http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV-10科教,http://112.17.40.48:80/PLTV/88888888/224/3221226199/index.m3u8
CCTV-10科教,http://101.71.255.229:6610/zjhs/2/10072/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-10科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10科教,http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225596/index.m3u8
CCTV-10科教,http://125.210.152.18:9090/live/CCTV10HD_H265.m3u8
CCTV-10科教,http://ivi.bupt.edu.cn/hls/cctv10.m3u8
CCTV-10科教,http://121.31.30.91:8081/ysten-business/live/cctv-10/1.m3u8
CCTV-10科教,http://121.31.30.90:8085/ysten-business/live/cctv-10/1.m3u8
CCTV-11戏曲,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-11戏曲,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
CCTV-11戏曲,http://39.135.250.71/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226057/00000001000000060000000000000497_mdn_1.smil?回看=http://92ltw.top/cjwx/PLTV/xxjxhk.php?id=5628.sm
CCTV-11戏曲,http://101.71.255.229:6610/zjhs/2/10085/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-11戏曲,http://125.210.152.18:9090/live/CCTV11.m3u8
CCTV-11戏曲,http://121.31.30.90:8085/ysten-business/live/cctv-11/1.m3u8
CCTV-11戏曲,http://121.31.30.91:8081/ysten-business/live/cctv-11/1.m3u8
CCTV-12社会,http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV-12社会,http://111.12.102.68:6610/PLTV/77777777/224/3221225670/index.m3u8?
CCTV-12社会,http://112.17.40.8:80/PLTV/88888888/224/3221226167/index.m3u8
CCTV-12社会,http://121.31.30.91:8081/ysten-business/live/cctv-12/1.m3u8
CCTV-12社会,http://121.31.30.90:8085/ysten-business/live/cctv-12/1.m3u8
CCTV-12社会,http://101.71.255.229:6610/zjhs/2/10086/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-12社会,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
